Name,DIST,Z
SUB12,12482.78354,143
SUB12,12511.06781,143
SUB12,12539.35208,143
SUB12,12567.63635,143
SUB12,12595.92063,143
SUB12,12615.92063,143
SUB12,12644.2049,143
SUB12,12664.2049,143
SUB12,12692.48917,143
SUB12,12712.48917,143
SUB12,12732.48917,143
SUB12,12752.48917,143
SUB12,12772.48917,143
SUB12,12792.48917,143
SUB12,12812.48917,142
SUB12,12840.77344,142
SUB12,12869.05771,142
SUB12,12897.34198,142
SUB12,12925.62625,142
SUB12,12953.91052,142
SUB12,12973.91052,142
SUB12,12993.91052,142
SUB12,13013.91052,142
SUB12,13042.1948,142
SUB12,13070.47907,142
SUB12,13098.76334,141.9880371
SUB12,13127.04761,141.9102173
SUB12,13147.04761,141.8728333
SUB12,13167.04761,141.8354492
SUB12,13187.04761,141.7980652
SUB12,13207.04761,141.7609253
SUB12,13227.04761,141.7241974
SUB12,13247.04761,141.6874695
SUB12,13267.04761,141.6507263
SUB12,13287.04761,141.6139984
SUB12,13307.04761,141.5772705
SUB12,13327.04761,141.5405426
SUB12,13347.04761,141.5038147
SUB12,13367.04761,141.4670715
SUB12,13387.04761,141.4303436
SUB12,13407.04761,141.3936157
SUB12,13427.04761,141.3568878
SUB12,13447.04761,141.3201447
SUB12,13467.04761,141.2834168
SUB12,13495.33188,141.2292175
SUB12,13515.33188,141.18927
SUB12,13535.33188,141.1493378
SUB12,13555.33188,141.1094055
SUB12,13575.33188,141.0699463
SUB12,13595.33188,141.0377045
SUB12,13623.61615,140.9917145
SUB12,13643.61615,140.9685516
SUB12,13663.61615,140.9453888
SUB12,13683.61615,140.9222412
SUB12,13703.61615,140.8990784
SUB12,13723.61615,140.8759308
SUB12,13743.61615,140.8527679
SUB12,13763.61615,140.8296204
SUB12,13783.61615,140.8064575
SUB12,13803.61615,140.7833099
SUB12,13823.61615,140.7601471
SUB12,13843.61615,140.7369843
SUB12,13863.61615,140.7138367
SUB12,13883.61615,140.6906738
SUB12,13903.61615,140.6675263
SUB12,13923.61615,140.6443634
SUB12,13943.61615,140.6212006
SUB12,13963.61615,140.598053
SUB12,13983.61615,140.5748901
SUB12,14003.61615,140.5517426
SUB12,14023.61615,140.5309601
SUB12,14043.61615,140.5110016
SUB12,14063.61615,140.4910584
SUB12,14083.61615,140.4710999
SUB12,14103.61615,140.4511566
SUB12,14123.61615,140.4311981
SUB12,14143.61615,140.4112396
SUB12,14163.61615,140.3912964
SUB12,14183.61615,140
SUB12,14203.61615,140
SUB12,14223.61615,140
SUB12,14251.90042,140
SUB12,14280.18469,140
SUB12,14308.46897,140
SUB12,14336.75324,140
SUB12,14365.03751,140
SUB12,14393.32178,140
SUB12,14421.60605,140
SUB12,14449.89032,140
SUB12,14478.17459,140
SUB12,14498.17459,140
SUB12,14526.45886,139.9718781
SUB12,14546.45886,139.9056091
SUB12,14566.45886,139.8396454
SUB12,14594.74314,139.7808991
SUB12,14623.02741,139.7248993
SUB12,14643.02741,139
SUB12,14671.31168,139
SUB12,14699.59595,139.6107788
SUB12,14719.59595,139
SUB12,14739.59595,139
SUB3,0,564
SUB3,20,558
SUB3,40,558
SUB3,60,552
SUB3,80,546
SUB3,100,546
SUB3,120,544
SUB3,140,544
SUB3,160,542
SUB3,180,542
SUB3,200,541
SUB3,220,537
SUB3,240,536
SUB3,260,531
SUB3,280,531
SUB3,300,523
SUB3,320,510
SUB3,340,510
SUB3,360,504
SUB3,380,500
SUB3,400,500
SUB3,420,494
SUB3,440,491
SUB3,460,491
SUB3,488.2842713,490
SUB3,508.2842713,488
SUB3,528.2842713,488
SUB3,548.2842713,485
SUB3,568.2842713,484
SUB3,588.2842713,484
SUB3,608.2842713,484
SUB3,628.2842713,485
SUB3,648.2842713,485
SUB3,668.2842713,483
SUB3,688.2842713,482
SUB3,716.5685425,482
SUB3,736.5685425,482
SUB3,756.5685425,480
SUB3,776.5685425,480
SUB3,804.8528137,479
SUB3,824.8528137,478
SUB3,844.8528137,478
SUB3,864.8528137,475
SUB3,893.137085,474
SUB3,913.137085,474
SUB3,933.137085,474
SUB3,961.4213562,474
SUB3,981.4213562,476
SUB3,1009.705628,476
SUB3,1029.705628,476
SUB3,1049.705628,476
SUB3,1069.705628,473
SUB3,1089.705628,473
SUB3,1117.989899,467
SUB3,1137.989899,464
SUB3,1157.989899,460
SUB3,1177.989899,460
SUB3,1197.989899,458
